year,iter,data,scenario,biol,code,metric
2025,37,8593.12324912998,om11_2,CJM,tun43,SB
2026,37,9881.51309904888,om11_2,CJM,tun43,SB
2027,37,10843.8932649568,om11_2,CJM,tun43,SB
2028,37,10604.0127013111,om11_2,CJM,tun43,SB
2029,37,9582.91806144923,om11_2,CJM,tun43,SB
2030,37,8539.18052834353,om11_2,CJM,tun43,SB
2031,37,7471.15581963632,om11_2,CJM,tun43,SB
2032,37,6210.63968300502,om11_2,CJM,tun43,SB
2033,37,5734.00931831649,om11_2,CJM,tun43,SB
2034,37,5700.01732697948,om11_2,CJM,tun43,SB
2035,37,4694.33491795964,om11_2,CJM,tun43,SB
2036,37,4429.60738171615,om11_2,CJM,tun43,SB
2037,37,4544.66073275797,om11_2,CJM,tun43,SB
2038,37,4971.77512879343,om11_2,CJM,tun43,SB
2039,37,7015.46491934628,om11_2,CJM,tun43,SB
2040,37,10860.2510198298,om11_2,CJM,tun43,SB
2041,37,13449.1661641918,om11_2,CJM,tun43,SB
2042,37,13962.7838542492,om11_2,CJM,tun43,SB
2043,37,14330.0965985802,om11_2,CJM,tun43,SB
2044,37,14854.8059723354,om11_2,CJM,tun43,SB
2045,37,14791.5467054196,om11_2,CJM,tun43,SB
2046,37,14719.4851612857,om11_2,CJM,tun43,SB
2047,37,14649.2999286369,om11_2,CJM,tun43,SB
2048,37,13759.2019477531,om11_2,CJM,tun43,SB
2049,37,12602.7277024107,om11_2,CJM,tun43,SB
2050,37,12612.251343606,om11_2,CJM,tun43,SB
2025,65,7734.49472637435,om11_2,CJM,tun43,SB
2026,65,8955.10020606981,om11_2,CJM,tun43,SB
2027,65,10299.8906501392,om11_2,CJM,tun43,SB
2028,65,10937.2625654567,om11_2,CJM,tun43,SB
2029,65,10929.7111807556,om11_2,CJM,tun43,SB
2030,65,11249.4318171535,om11_2,CJM,tun43,SB
2031,65,12180.8841190901,om11_2,CJM,tun43,SB
2032,65,14112.8535954693,om11_2,CJM,tun43,SB
2033,65,15958.0246866406,om11_2,CJM,tun43,SB
2034,65,16366.1082494875,om11_2,CJM,tun43,SB
2035,65,14471.638393004,om11_2,CJM,tun43,SB
2036,65,13460.5983256309,om11_2,CJM,tun43,SB
2037,65,13126.660779301,om11_2,CJM,tun43,SB
2038,65,12891.9194488464,om11_2,CJM,tun43,SB
2039,65,12386.3867520869,om11_2,CJM,tun43,SB
2040,65,12327.9741704231,om11_2,CJM,tun43,SB
2041,65,12082.3550602797,om11_2,CJM,tun43,SB
2042,65,11173.6890143834,om11_2,CJM,tun43,SB
2043,65,10916.0618175486,om11_2,CJM,tun43,SB
2044,65,10326.0977446057,om11_2,CJM,tun43,SB
2045,65,9320.69296991227,om11_2,CJM,tun43,SB
2046,65,8274.54710476632,om11_2,CJM,tun43,SB
2047,65,6859.28160361066,om11_2,CJM,tun43,SB
2048,65,5585.17141025334,om11_2,CJM,tun43,SB
2049,65,4064.17801346807,om11_2,CJM,tun43,SB
2050,65,2573.89805304496,om11_2,CJM,tun43,SB
2025,110,9634.882166157,om11_2,CJM,tun43,SB
2026,110,10479.1999340746,om11_2,CJM,tun43,SB
2027,110,10557.6355457146,om11_2,CJM,tun43,SB
2028,110,11531.8046136523,om11_2,CJM,tun43,SB
2029,110,13348.5917459878,om11_2,CJM,tun43,SB
2030,110,15131.6016779419,om11_2,CJM,tun43,SB
2031,110,15800.6966524908,om11_2,CJM,tun43,SB
2032,110,15283.3957163315,om11_2,CJM,tun43,SB
2033,110,14742.8680557388,om11_2,CJM,tun43,SB
2034,110,14246.260111837,om11_2,CJM,tun43,SB
2035,110,12468.2030859369,om11_2,CJM,tun43,SB
2036,110,11056.2801473646,om11_2,CJM,tun43,SB
2037,110,9975.78896979644,om11_2,CJM,tun43,SB
2038,110,8251.19525600947,om11_2,CJM,tun43,SB
2039,110,6597.97095929505,om11_2,CJM,tun43,SB
2040,110,5299.56707768725,om11_2,CJM,tun43,SB
2041,110,4300.26394366826,om11_2,CJM,tun43,SB
2042,110,3228.61607853555,om11_2,CJM,tun43,SB
2043,110,3039.56956178538,om11_2,CJM,tun43,SB
2044,110,2797.19821592016,om11_2,CJM,tun43,SB
2045,110,2203.20974511315,om11_2,CJM,tun43,SB
2046,110,1702.66669894019,om11_2,CJM,tun43,SB
2047,110,1510.76627393952,om11_2,CJM,tun43,SB
2048,110,1350.3388084395,om11_2,CJM,tun43,SB
2049,110,1248.43240189285,om11_2,CJM,tun43,SB
2050,110,1132.69721128205,om11_2,CJM,tun43,SB
2025,151,6742.27315938003,om11_2,CJM,tun43,SB
2026,151,7415.48202441664,om11_2,CJM,tun43,SB
2027,151,7812.47428758319,om11_2,CJM,tun43,SB
2028,151,7887.29989803892,om11_2,CJM,tun43,SB
2029,151,9536.32508269884,om11_2,CJM,tun43,SB
2030,151,12421.611822433,om11_2,CJM,tun43,SB
2031,151,15492.3798277193,om11_2,CJM,tun43,SB
2032,151,16938.1774019973,om11_2,CJM,tun43,SB
2033,151,17493.89851169,om11_2,CJM,tun43,SB
2034,151,17367.8627252657,om11_2,CJM,tun43,SB
2035,151,15488.5734703851,om11_2,CJM,tun43,SB
2036,151,14233.0854891653,om11_2,CJM,tun43,SB
2037,151,13801.0517101674,om11_2,CJM,tun43,SB
2038,151,14796.851324143,om11_2,CJM,tun43,SB
2039,151,15751.0065204913,om11_2,CJM,tun43,SB
2040,151,15887.3111295522,om11_2,CJM,tun43,SB
2041,151,16769.5447230964,om11_2,CJM,tun43,SB
2042,151,17734.9615337497,om11_2,CJM,tun43,SB
2043,151,19606.5139775742,om11_2,CJM,tun43,SB
2044,151,23168.369894742,om11_2,CJM,tun43,SB
2045,151,27021.0637877341,om11_2,CJM,tun43,SB
2046,151,29469.4802304181,om11_2,CJM,tun43,SB
2047,151,31955.4420512017,om11_2,CJM,tun43,SB
2048,151,34603.3066475135,om11_2,CJM,tun43,SB
2049,151,36043.6625409002,om11_2,CJM,tun43,SB
2050,151,35953.0468662632,om11_2,CJM,tun43,SB
2025,158,7236.77187172129,om11_2,CJM,tun43,SB
2026,158,6388.451650034,om11_2,CJM,tun43,SB
2027,158,6020.7935718014,om11_2,CJM,tun43,SB
2028,158,5896.36301556398,om11_2,CJM,tun43,SB
2029,158,5430.19523685584,om11_2,CJM,tun43,SB
2030,158,4760.28666689602,om11_2,CJM,tun43,SB
2031,158,4440.85977214979,om11_2,CJM,tun43,SB
2032,158,4416.44352022637,om11_2,CJM,tun43,SB
2033,158,4147.82838321107,om11_2,CJM,tun43,SB
2034,158,3666.30282959189,om11_2,CJM,tun43,SB
2035,158,2833.82618127892,om11_2,CJM,tun43,SB
2036,158,2411.65734467291,om11_2,CJM,tun43,SB
2037,158,2555.33786163405,om11_2,CJM,tun43,SB
2038,158,2733.15246158333,om11_2,CJM,tun43,SB
2039,158,2702.166552034,om11_2,CJM,tun43,SB
2040,158,2621.06097271656,om11_2,CJM,tun43,SB
2041,158,2911.97360226003,om11_2,CJM,tun43,SB
2042,158,3146.79819055058,om11_2,CJM,tun43,SB
2043,158,3206.89841552993,om11_2,CJM,tun43,SB
2044,158,3682.73812711182,om11_2,CJM,tun43,SB
2045,158,4528.83546201058,om11_2,CJM,tun43,SB
2046,158,5416.04354623683,om11_2,CJM,tun43,SB
2047,158,6902.45555008682,om11_2,CJM,tun43,SB
2048,158,8483.80705442293,om11_2,CJM,tun43,SB
2049,158,11030.0822104003,om11_2,CJM,tun43,SB
2050,158,13358.5754401134,om11_2,CJM,tun43,SB
2025,165,7753.47260672735,om11_2,CJM,tun43,SB
2026,165,7920.79794205738,om11_2,CJM,tun43,SB
2027,165,7925.79615790233,om11_2,CJM,tun43,SB
2028,165,7995.59465149525,om11_2,CJM,tun43,SB
2029,165,7627.76267003291,om11_2,CJM,tun43,SB
2030,165,7098.44731882703,om11_2,CJM,tun43,SB
2031,165,6581.43485942217,om11_2,CJM,tun43,SB
2032,165,6174.54510645564,om11_2,CJM,tun43,SB
2033,165,6180.37533122751,om11_2,CJM,tun43,SB
2034,165,6210.63241479503,om11_2,CJM,tun43,SB
2035,165,5146.95009385388,om11_2,CJM,tun43,SB
2036,165,4809.24660637292,om11_2,CJM,tun43,SB
2037,165,6974.13134112516,om11_2,CJM,tun43,SB
2038,165,9596.87569058695,om11_2,CJM,tun43,SB
2039,165,10383.9113583359,om11_2,CJM,tun43,SB
2040,165,10645.7800132396,om11_2,CJM,tun43,SB
2041,165,10732.5959581324,om11_2,CJM,tun43,SB
2042,165,10341.8880304464,om11_2,CJM,tun43,SB
2043,165,10228.3523438881,om11_2,CJM,tun43,SB
2044,165,9514.04521891789,om11_2,CJM,tun43,SB
2045,165,8672.26446204066,om11_2,CJM,tun43,SB
2046,165,8005.38587109791,om11_2,CJM,tun43,SB
2047,165,6959.55665763287,om11_2,CJM,tun43,SB
2048,165,5903.66740187802,om11_2,CJM,tun43,SB
2049,165,4373.39981351129,om11_2,CJM,tun43,SB
2050,165,2996.61868083504,om11_2,CJM,tun43,SB
2025,177,8041.24231146839,om11_2,CJM,tun43,SB
2026,177,8201.9921947721,om11_2,CJM,tun43,SB
2027,177,8647.83467206007,om11_2,CJM,tun43,SB
2028,177,9225.58891556726,om11_2,CJM,tun43,SB
2029,177,8989.72820462078,om11_2,CJM,tun43,SB
2030,177,8277.83568804359,om11_2,CJM,tun43,SB
2031,177,7930.70002257653,om11_2,CJM,tun43,SB
2032,177,7689.07083287116,om11_2,CJM,tun43,SB
2033,177,7489.3579377942,om11_2,CJM,tun43,SB
2034,177,7146.76866490308,om11_2,CJM,tun43,SB
2035,177,5650.85726863953,om11_2,CJM,tun43,SB
2036,177,4702.54868159077,om11_2,CJM,tun43,SB
2037,177,4243.4630156049,om11_2,CJM,tun43,SB
2038,177,4024.19642383796,om11_2,CJM,tun43,SB
2039,177,4316.10429530354,om11_2,CJM,tun43,SB
2040,177,4453.24251006458,om11_2,CJM,tun43,SB
2041,177,4296.25901485493,om11_2,CJM,tun43,SB
2042,177,4470.14091110345,om11_2,CJM,tun43,SB
2043,177,5098.75349633969,om11_2,CJM,tun43,SB
2044,177,5433.85745937759,om11_2,CJM,tun43,SB
